🕘️更新时间,#genre#
2025-01-28 11:05:43,http://14.112.86.85:4022/rtp/239.77.0.114:5146$广东电信组播源-1920x1080

广东频道,#genre#
广东珠江,http://14.112.86.85:4022/rtp/239.77.0.114:5146$广东电信组播源-1920x1080
广东珠江,http://119.32.12.32:2901/udp/224.1.100.23:11111$订阅源-1920x1080
广东珠江,http://qjrhc.jydjd.top:2911/udp/224.1.100.191:11111$订阅源-1920x1080
广东珠江,http://120.238.94.10:9901/tsfile/live/1009_1.m3u8$订阅源
广东珠江,http://mzitv.cn:32/tsfile/live/1006_1.m3u8$订阅源
广东体育,http://14.112.86.85:4022/udp/239.77.0.112:5146$订阅源-1920x1080
广东体育,http://219.159.194.210:8181/tsfile/live/1001_1.m3u8$订阅源-1920x1080
广东体育,http://119.32.12.32:2901/udp/224.1.100.34:11111$订阅源-1920x1080
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.33:11111$订阅源-1920x1080
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$订阅源
广东新闻,http://14.112.86.85:4022/udp/239.77.0.173:5146$订阅源-1920x1080
广东新闻,http://219.159.194.210:8181/tsfile/live/1007_1.m3u8$订阅源-1920x1080
广东新闻,http://qjrhc.jydjd.top:2911/udp/224.1.100.155:11111$订阅源-1920x1080
广东新闻,http://125.89.163.44:8888/rtp/239.77.0.173:5146$广东电信组播源-1920x1080
广东新闻,http://183.3.134.56:9901/tsfile/live/1005_1.m3u8$订阅源-720x576
广东卫视,http://112.255.69.58:6666/rtp/239.253.254.90:8000$山东联通组播源-1920x1080
广东卫视,http://123.113.187.204:8000/udp/239.3.1.142:8048$订阅源-1920x1080
广东卫视,http://123.157.31.182:7912/rtp/233.50.201.102:5140$浙江联通组播源-1920x1080
广东卫视,http://114.240.224.31:3000/rtp/239.3.1.142:8048$北京联通组播源-1920x1080
广东卫视,http://49.79.3.119:8890/rtp/239.49.8.143:6000$江苏电信组播源-1920x1080
大湾区卫视,http://14.112.86.85:4022/rtp/239.77.0.215:5146$广东电信组播源-1920x1080
大湾区卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.153:11111$订阅源-1920x1080
大湾区卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8$订阅源-720x576
大湾区卫视,http://mzitv.cn:32/tsfile/live/1012_1.m3u8$订阅源
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8$订阅源
江门综合,http://14.112.86.85:4022/udp/239.77.0.201:5146$订阅源-1920x1080
江门综合,http://120.77.205.62:8087/rtp/239.77.0.195:5146$组播源
